run,model,split,gen_time
57,QRGMM,Y1,0.0018119
58,QRGMM,Y1,0.0014882
59,QRGMM,Y1,0.0015056
60,QRGMM,Y1,0.0015145
61,QRGMM,Y1,0.0014157
62,QRGMM,Y1,0.0018259
63,QRGMM,Y1,0.0022367
64,QRGMM,Y1,0.0014533
65,QRGMM,Y1,0.0015016
66,QRGMM,Y1,0.0014893
67,QRGMM,Y1,0.0014668
68,QRGMM,Y1,0.0017884
69,QRGMM,Y1,0.0021288
70,QRGMM,Y1,0.0018536
71,QRGMM,Y1,0.0015892
72,QRGMM,Y1,0.0014362
73,QRGMM,Y1,0.0014383
74,QRGMM,Y1,0.0014615
75,QRGMM,Y1,0.001484
76,QRGMM,Y1,0.0015239
77,QRGMM,Y1,0.0014814
